State Key,Series Key,Category Key,Spending Value ($ Millions),Date,Methodology Key
1,1,1,17710.1,2019-01-01 00:00:00.000,"2"
1,1,1,16510.3,2019-02-01 00:00:00.000,"2"
1,1,1,18423.6,2019-03-01 00:00:00.000,"2"
1,1,1,17295.8,2019-04-01 00:00:00.000,"2"
1,1,1,18351.9,2019-05-01 00:00:00.000,"2"
1,1,1,18033.7,2019-06-01 00:00:00.000,"2"
1,1,1,18074.8,2019-07-01 00:00:00.000,"2"
1,1,1,18485.9,2019-08-01 00:00:00.000,"2"
1,1,1,17891.9,2019-09-01 00:00:00.000,"2"
1,1,1,18630.2,2019-10-01 00:00:00.000,"2"
1,1,1,19108.6,2019-11-01 00:00:00.000,"2"
1,1,1,20241.7,2019-12-01 00:00:00.000,"2"
1,1,1,17425.7,2020-01-01 00:00:00.000,"2"
1,1,1,16397.4,2020-02-01 00:00:00.000,"2"
1,1,1,16909.1,2020-03-01 00:00:00.000,"2"
1,1,1,12953.7,2020-04-01 00:00:00.000,"2"
1,1,1,15926.7,2020-05-01 00:00:00.000,"2"
1,1,1,17094.8,2020-06-01 00:00:00.000,"2"
1,1,1,18007.4,2020-07-01 00:00:00.000,"2"
1,1,1,17487,2020-08-01 00:00:00.000,"2"
1,1,1,17461.4,2020-09-01 00:00:00.000,"2"
1,1,1,18325.9,2020-10-01 00:00:00.000,"2"
1,1,1,19003,2020-11-01 00:00:00.000,"2"
1,1,1,20181.5,2020-12-01 00:00:00.000,"2"
1,1,1,16849.8,2021-01-01 00:00:00.000,"2"
1,1,1,16042.5,2021-02-01 00:00:00.000,"2"
1,1,1,18033.8,2021-03-01 00:00:00.000,"2"
1,1,1,17554.4,2021-04-01 00:00:00.000,"2"
1,1,1,18212.7,2021-05-01 00:00:00.000,"2"
1,1,1,17697.4,2021-06-01 00:00:00.000,"2"
1,1,1,15881,2021-07-01 00:00:00.000,"2"
1,1,1,15726,2021-08-01 00:00:00.000,"2"
1,1,1,16123.2,2021-09-01 00:00:00.000,"2"
1,1,1,18810.3,2021-10-01 00:00:00.000,"2"
1,1,1,20438.2,2021-11-01 00:00:00.000,"2"
1,1,1,21556.9,2021-12-01 00:00:00.000,"2"
1,1,1,18097.7,2022-01-01 00:00:00.000,"2"
1,1,1,17982.6,2022-02-01 00:00:00.000,"2"
1,1,1,20463.2,2022-03-01 00:00:00.000,"2"
1,1,1,19990.3,2022-04-01 00:00:00.000,"2"
1,1,1,21253.2,2022-05-01 00:00:00.000,"2"
1,1,1,21300.4,2022-06-01 00:00:00.000,"2"
1,1,1,21642.3,2022-07-01 00:00:00.000,"2"
1,1,1,22091.2,2022-08-01 00:00:00.000,"2"
1,1,1,22263.6,2022-09-01 00:00:00.000,"2"
1,1,1,22936.8,2022-10-01 00:00:00.000,"2"
1,1,1,23888.6,2022-11-01 00:00:00.000,"2"
1,1,1,24983,2022-12-01 00:00:00.000,"2"
1,1,1,21627,2023-01-01 00:00:00.000,"2"
1,1,1,20398.4,2023-02-01 00:00:00.000,"2"
1,1,1,22783.9,2023-03-01 00:00:00.000,"2"
1,1,1,21639.1,2023-04-01 00:00:00.000,"2"
1,1,1,22725.3,2023-05-01 00:00:00.000,"2"
1,1,1,22647.5,2023-06-01 00:00:00.000,"2"
1,1,1,22574.9,2023-07-01 00:00:00.000,"2"
1,1,1,23128.6,2023-08-01 00:00:00.000,"2"
1,1,1,23332.2,2023-09-01 00:00:00.000,"2"
1,1,1,23469.4,2023-10-01 00:00:00.000,"2"
1,1,1,24786.5,2023-11-01 00:00:00.000,"2"
1,1,1,25253.4,2023-12-01 00:00:00.000,"2"
1,1,1,22510.1,2024-01-01 00:00:00.000,"2"
1,1,1,21801.7,2024-02-01 00:00:00.000,"2"
1,1,1,23214.7,2024-03-01 00:00:00.000,"2"
1,1,1,22220.1,2024-04-01 00:00:00.000,"2"
1,1,1,23389.7,2024-05-01 00:00:00.000,"2"
1,1,1,22911.9,2024-06-01 00:00:00.000,"2"
1,1,1,23190.5,2024-07-01 00:00:00.000,"2"
1,1,1,23714,2024-08-01 00:00:00.000,"2"
1,1,1,23107.5,2024-09-01 00:00:00.000,"2"
1,1,1,24208.9,2024-10-01 00:00:00.000,"2"
1,1,1,25444.7,2024-11-01 00:00:00.000,"2"
1,1,1,26126.3,2024-12-01 00:00:00.000,"2"
1,1,1,23057.3,2025-01-01 00:00:00.000,"2"
1,1,1,21733.3,2025-02-01 00:00:00.000,"2"
1,1,1,23923.7,2025-03-01 00:00:00.000,"2"
1,1,1,22807,2025-04-01 00:00:00.000,"2"
1,1,1,24315.9,2025-05-01 00:00:00.000,"2"
1,1,1,24046.7,2025-06-01 00:00:00.000,"2"
